1328,280.75
c_6967,688.25
c_6966,704.66
c_6961,331.36
c_6960,530.69
c_6959,599.68
c_6958,530.69
c_6957,596.72
c_6956,639.87
c_6955,641.45
c_6954,363.79
c_6953,653.63
c_6952,653.61
c_6951,657.28
c_6950,682.75
c_6949,689.65
c_6948,456.28
c_6947,490.47
c_6946,572.78
c_6945,542.42
c_6944,511.58
c_6943,667.11
c_6942,572.78
c_6941,571.64
c_6940,668.26
c_6939,542.34
c_6461,662.95
c_6457,642.44
c_6456,662.96
c_6455,662.98
c_6454,579.63
c_6453,580.51
c_6452,574.46
c_6451,605.16
c_6450,608.23
c_6449,606.14
c_6448,584.35
c_6447,584.33
c_6446,544
c_6445,609.61
c_6444,606.81
c_6443,609.59
c_6442,571.45
c_6441,571.02
c_6440,562.36
c_6439,597.47
c_6438,681.75
c_6437,681.87
c_6422,681.9
c_6420,575.79
c_6419,612.86
c_6418,607.35
c_6417,460.64
c_6416,516.85
c_6415,688.69
c_6414,688.77
c_6413,495.98
c_6412,485.96
c_6411,580.7
c_6410,576.03
c_6409,656.61
c_6408,671.03
c_6407,672.23
c_6406,526.39
c_6405,540.17
c_6404,659.3
c_6403,651.86
c_6402,693.95
c_6401,695.12
c_6400,576.2
c_6399,609.01
c_6398,605.26
c_6397,609.65
c_6396,604.37
c_6395,619.21
c_6394,605
c_6393,607.98
c_6392,487.2
c_6391,511.98
c_6390,515.71
c_6389,590.62
c_6388,585.8
c_6387,585.7
c_6386,528.54
c_6385,559.46
c_6384,581.34
c_6383,563.87
c_6382,602.55
c_6381,620.77
c_6380,602.63
c_6379,693.95
c_6378,560.14
c_6377,587.39
c_6376,592.58
c_6375,539.68
c_6374,539.19
c_6373,651.48
c_6372,674.81
c_6371,679.07
c_6370,673.17
c_6369,682.61
c_6368,685.67
c_6367,677.32
c_6366,539.63
c_6365,599.81
c_6364,594.65
c_6363,612.11
c_6362,394.39
c_6361,487.83
c_6358,513.21
c_6357,562.39
c_6356,559.15
c_6355,479.65
c_6354,449.14
c_6353,553.55
c_6352,549.63
c_6351,477.46
c_6350,474.62
c_6349,534.63
c_6348,534.58
c_6347,655.93
c_6346,713.46
c_6345,713.38
c_6344,641.43
c_6343,551.69
c_6342,555.42
c_6341,633.2
c_6340,644.42
c_6339,651.77
c_6338,643.39
c_6337,603.82
c_6336,610.71
c_6335,610.7
c_6334,651.07
c_6333,595.05
c_6332,599.88
c_6331,597.64
c_6330,641.23
c_33273,531.6
c_33272,389.98
c_33271,397.32
c_33270,647.17
c_33269,647.32
c_33268,639.35
c_33267,528.77
c_33266,533.94
c_33265,394.87
c_33264,395.46
c_33263,534.09
c_33262,526.72
c_33261,526.68
c_33258,486.46
c_33257,662.53
c_33256,663.13
c_33255,662.92
c_33254,454.77
c_33253,540.52
c_33252,632.72
c_33251,710.84
c_33250,669.62
c_33249,519.9
c_33248,526.2
c_33247,588.94
c_33246,588.7
c_33245,588.69
c_33244,501.8
c_33243,507.85
c_33242,571.66
c_33241,571.95
c_33240,571.88
c_33239,689.47
c_33238,691.14
c_33237,691.47
c_33236,671.06
c_33234,675.1
c_33233,636.76
c_33232,639.18
c_33231,639.55
c_33229,700.77
c_33228,689.4
c_33227,694.04
c_33226,692.48
c_33225,691.64
c_33224,620.05
c_33223,624.29
c_33222,624.45
c_33221,683.89
c_33220,685.95
c_33216,682.64
c_33215,692.84
c_33214,691.54
c_33213,659.52
c_33212,655.17
c_33211,622.76
c_33210,623.5
c_33209,623.49
c_33208,693.5
c_33207,652.74
c_33133,711.08
39965,468.76
39964,446.51
39953,446.49
39952,454.81
39951,450.99
39950,446.77
39949,444.17
39948,447
39817,124.85
39816,448.36
39815,422.61
39814,427.24
39813,425.89
39812,426.23
39811,426.39
39810,424.25
39678,246.09
39677,186.34
39676,211.78
39675,122.09
39674,217.45
39673,169.55
39672,245.32
39648,378.76
39647,383.78
39646,379.73
39645,379.62
39644,374.94
39643,386.71
39642,383.48
39641,386.65
39619,419.75
39618,443.53
39617,467.95
39615,492.62
39614,513.5
39613,522.27
39612,483.85
39611,470.69
39609,210.7
39608,215.11
39607,222.58
39606,196.82
39605,182.75
39583,297.33
39582,324.01
39581,348.28
39579,373.16
39578,375.62
39570,260.05
39569,217.24
39568,260.05
39567,274.71
39566,300.01
39565,321.59
39564,341.85
39563,363.1
39526,220
39525,347.75
39501,314.14
39500,301.17
39498,281.98
39497,331.2
39496,348.61
39495,353.43
39494,367.27
39492,430.8
39491,404.83
39490,400.45
39489,158.85
39488,198.27
39487,237.82
39486,282.23
39485,326.07
39484,382.62
39483,440.69
39482,501.32
39481,566.1
39465,220.87
39464,159.96
39463,179.54
39462,199.86
39461,220.6
39460,241.87
39459,263.29
39458,285.55
39457,310.04
39410,342.48
39375,111.77
39374,257.57
39373,111.77
39372,128.34
39358,140.76
39357,175.49
39307,468.42
39268,150.16
39267,173.29
39228,374.04
39226,482.53
39225,359.89
39224,292.08
39223,434.89
39221,400.45
39217,444.35
39158,106.26
39157,204.76
38954,268.92
38953,239.09
38952,226.01
38951,211.96
38950,226.01
38949,239.09
38948,255.64
38947,268.92
38946,318.06
38945,302.44
38944,285.25
38943,302.44
38942,318.06
38862,242.18
38861,214.64
38860,227.64
38859,242.18
38858,259.85
38857,273.83
38856,292.34
38855,310.04
38854,324.45
38805,328.48
38804,276.92
38803,229.34
38802,243.95
38801,260.61
38800,276.92
38798,310.4
38797,328.48
38361,296.59
38360,328.84
38359,301.62
38358,308.86
38203,168.05
38200,175.7
38191,263.96
38190,263.96
38189,270.89
38188,263.96
38187,269.14
38186,270.35
38185,262.78
38183,268.59
38182,314.23
38181,278.94
38122,362.34
38121,373.87
38120,385.55
38119,397.65
38118,409.93
38117,422.38
38116,435.24
38108,545.9
38107,491.04
38106,503.64
38105,520.18
38104,532.44
38103,545.9
38102,561.73
38101,577.78
38100,594.36
38099,401.85
38098,413.38
38097,425.22
38096,437.35
38095,449.27
38094,461.79
38093,422.8
38092,447.92
38081,474.3
38079,435.83
38078,448.49
38077,461.78
38076,474.3
38075,386.96
38074,398.58
38073,410.41
38072,422.82
38071,435.07
38069,461.67
38048,448.21
38047,461.66
38046,475.51
38045,489.71
37429,106.55
37426,236.82
37424,150.32
37422,150.32
37420,29.77
37418,150.32
37416,236.82
37412,106.55
37410,125.89
37409,339.68
37408,47.01
37407,125.89
37406,238.14
37098,308.27
37095,309.74
37089,314.8
37086,314.95
36895,373.66
36637,479.68
36636,433.16
36634,253.78
36632,476.44
36628,387.28
36627,505.96
36626,437.7
36625,437.39
36620,327.55
36619,423.34
36618,451.75
36616,494.09
36614,310.95
36612,503.6
36609,509.7
36608,523.84
36606,512.13
36605,509.23
36604,491.33
36601,434.36
36600,397.1
36599,300.06
36598,391.78
36597,458.34
36593,480.64
36588,418.43
36573,30.93
36570,39.03
36569,33.29
36568,27.14
36567,33.29
36566,39.03
36565,42.55
36564,46.91
